3,1,645,156,34,41,-1,-1,-1
4,1,649,156,32,40,-1,-1,-1
5,1,651,158,31,39,-1,-1,-1
6,1,653,157,33,41,-1,-1,-1
7,1,653,158,31,39,-1,-1,-1
8,1,651,156,31,40,-1,-1,-1
9,1,648,154,34,43,-1,-1,-1
10,1,643,152,35,45,-1,-1,-1
11,1,636,156,31,41,-1,-1,-1
12,1,629,157,28,36,-1,-1,-1
13,1,624,156,26,32,-1,-1,-1
14,1,625,153,28,33,-1,-1,-1
15,1,627,150,32,37,-1,-1,-1
16,1,631,150,33,37,-1,-1,-1
17,1,640,148,34,38,-1,-1,-1
18,1,650,148,34,38,-1,-1,-1
19,1,652,147,35,39,-1,-1,-1
22,3,717,147,23,34,-1,-1,-1
23,3,730,146,24,35,-1,-1,-1
24,3,738,144,23,32,-1,-1,-1
25,3,740,142,24,34,-1,-1,-1
26,3,737,139,33,46,-1,-1,-1
26,6,474,164,16,14,-1,-1,-1
27,3,731,137,36,51,-1,-1,-1
27,6,466,164,16,14,-1,-1,-1
28,3,725,135,39,55,-1,-1,-1
28,6,457,164,15,13,-1,-1,-1
29,3,720,135,41,58,-1,-1,-1
29,6,451,164,14,13,-1,-1,-1
30,3,714,135,40,57,-1,-1,-1
31,1,696,139,49,56,-1,-1,-1
31,3,715,134,42,60,-1,-1,-1
32,1,693,140,49,57,-1,-1,-1
33,1,696,145,45,57,-1,-1,-1
34,1,693,150,41,52,-1,-1,-1
35,1,688,154,36,47,-1,-1,-1
36,1,679,154,36,48,-1,-1,-1
37,1,679,155,36,48,-1,-1,-1
39,8,632,148,35,46,-1,-1,-1
40,8,610,149,35,45,-1,-1,-1
41,8,595,150,30,38,-1,-1,-1
42,8,585,146,30,36,-1,-1,-1
43,8,571,143,34,41,-1,-1,-1
44,8,561,138,35,40,-1,-1,-1
45,8,547,134,44,49,-1,-1,-1
46,8,538,133,49,55,-1,-1,-1
47,8,533,132,46,50,-1,-1,-1
48,8,525,134,47,50,-1,-1,-1
49,8,527,136,44,47,-1,-1,-1
50,8,517,135,45,47,-1,-1,-1
52,14,544,137,44,55,-1,-1,-1
53,14,546,135,46,58,-1,-1,-1
54,14,547,133,48,60,-1,-1,-1
55,14,547,133,48,60,-1,-1,-1
56,14,545,135,49,60,-1,-1,-1
57,14,541,139,49,60,-1,-1,-1
58,14,544,144,47,56,-1,-1,-1
59,14,546,147,41,50,-1,-1,-1
60,14,542,146,39,47,-1,-1,-1
61,14,536,141,41,51,-1,-1,-1
62,14,527,133,43,53,-1,-1,-1
63,14,518,125,48,61,-1,-1,-1
64,14,507,119,48,63,-1,-1,-1
65,14,499,114,47,61,-1,-1,-1
66,14,501,112,45,57,-1,-1,-1
67,14,498,111,47,58,-1,-1,-1
68,14,499,112,46,54,-1,-1,-1
69,14,502,113,46,52,-1,-1,-1
70,14,506,114,49,56,-1,-1,-1
71,14,514,115,52,59,-1,-1,-1
72,14,523,113,55,63,-1,-1,-1
73,14,538,112,55,64,-1,-1,-1
73,17,915,233,26,34,-1,-1,-1
74,14,540,111,56,66,-1,-1,-1
74,17,911,236,27,33,-1,-1,-1
75,17,905,237,29,32,-1,-1,-1
76,17,892,233,33,35,-1,-1,-1
76,18,597,111,33,61,-1,-1,-1
77,17,873,231,38,38,-1,-1,-1
77,18,607,110,37,68,-1,-1,-1
78,17,874,230,42,38,-1,-1,-1
78,18,616,110,39,71,-1,-1,-1
79,17,856,229,40,35,-1,-1,-1
79,18,624,111,40,72,-1,-1,-1
80,17,848,229,40,35,-1,-1,-1
80,18,625,111,41,73,-1,-1,-1
81,18,626,113,42,74,-1,-1,-1
82,18,628,115,42,72,-1,-1,-1
82,19,778,221,35,36,-1,-1,-1
83,18,636,117,40,68,-1,-1,-1
83,19,767,220,36,36,-1,-1,-1
84,18,644,120,41,68,-1,-1,-1
85,18,650,123,40,67,-1,-1,-1
86,18,651,122,39,63,-1,-1,-1
86,21,756,225,75,29,-1,-1,-1
87,18,647,119,39,63,-1,-1,-1
87,21,737,224,81,31,-1,-1,-1
88,18,643,115,41,67,-1,-1,-1
88,21,722,225,78,30,-1,-1,-1
89,18,639,113,44,72,-1,-1,-1
89,21,716,228,73,27,-1,-1,-1
90,18,634,112,44,71,-1,-1,-1
90,21,710,225,79,29,-1,-1,-1
91,18,632,113,44,68,-1,-1,-1
91,21,689,223,91,32,-1,-1,-1
92,14,638,117,56,64,-1,-1,-1
92,18,634,113,44,69,-1,-1,-1
92,21,653,224,90,32,-1,-1,-1
93,14,653,117,55,61,-1,-1,-1
93,21,642,224,96,35,-1,-1,-1
94,14,662,120,52,55,-1,-1,-1
94,21,646,229,82,30,-1,-1,-1
95,14,668,124,52,55,-1,-1,-1
95,21,641,230,85,31,-1,-1,-1
96,14,678,125,55,61,-1,-1,-1
96,21,640,228,94,34,-1,-1,-1
97,14,692,126,57,67,-1,-1,-1
97,21,617,227,95,36,-1,-1,-1
98,14,710,127,59,69,-1,-1,-1
98,21,596,227,94,37,-1,-1,-1
99,14,719,132,58,65,-1,-1,-1
99,19,591,226,37,37,-1,-1,-1
99,21,584,227,98,38,-1,-1,-1
100,14,728,140,52,56,-1,-1,-1
100,19,580,227,37,37,-1,-1,-1
100,21,574,225,99,39,-1,-1,-1
101,14,738,143,47,50,-1,-1,-1
101,21,546,224,102,39,-1,-1,-1
102,14,745,142,55,59,-1,-1,-1
102,21,513,222,109,41,-1,-1,-1
103,14,746,137,59,65,-1,-1,-1
103,21,494,222,101,37,-1,-1,-1
104,14,738,131,65,72,-1,-1,-1
104,21,472,222,98,35,-1,-1,-1
105,14,732,128,64,72,-1,-1,-1
105,21,446,220,102,36,-1,-1,-1
106,14,731,128,62,69,-1,-1,-1
106,21,419,216,109,39,-1,-1,-1
107,14,734,131,60,66,-1,-1,-1
107,21,401,215,111,40,-1,-1,-1
108,14,734,134,61,68,-1,-1,-1
109,14,735,134,64,71,-1,-1,-1
110,14,734,134,64,71,-1,-1,-1
111,14,725,134,66,71,-1,-1,-1
112,14,716,137,66,72,-1,-1,-1
113,14,715,139,65,72,-1,-1,-1
114,14,707,138,65,72,-1,-1,-1
115,14,707,139,65,73,-1,-1,-1
115,18,690,132,46,70,-1,-1,-1
116,18,692,133,46,70,-1,-1,-1
116,31,208,165,70,33,-1,-1,-1
117,31,188,167,73,35,-1,-1,-1
118,31,175,174,60,29,-1,-1,-1
119,31,175,184,43,21,-1,-1,-1
119,33,635,118,36,67,-1,-1,-1
120,31,154,189,38,18,-1,-1,-1
120,33,626,118,34,61,-1,-1,-1
