165,71,42,93
0,0,64,142
0,55,80,157
0,0,94,184
0,0,147,229
140,0,105,253
119,13,109,241
149,0,82,262
154,0,69,258
151,0,64,263
152,0,63,264
147,6,61,239
147,18,62,227
143,14,58,234
144,12,58,233
139,18,59,227
139,20,59,225
139,24,59,215
137,26,60,215
140,34,57,212
142,36,52,211
147,33,47,211
149,32,45,200
150,44,40,190
150,44,38,190
150,43,39,190
150,43,39,191
147,53,43,183
147,49,43,186
143,37,46,200
143,27,48,214
136,12,59,225
130,13,68,225
122,14,79,227
118,7,86,234
119,0,99,247
119,0,107,257
126,0,98,268
133,0,87,270
135,0,70,270
140,0,60,270
130,0,66,270
129,0,70,268
122,0,71,270
122,0,71,270
108,0,79,270
104,0,86,270
103,0,101,270
85,0,116,270
95,0,135,245
76,0,147,248
95,0,155,206
80,0,139,201
108,0,132,225
112,0,123,227
115,0,126,239
113,0,130,239
120,0,131,239
116,0,134,237
115,0,135,244
115,0,136,242
117,0,132,240
121,0,128,242
116,0,139,240
115,0,145,237
161,0,128,246
154,0,125,243
151,0,133,254
148,0,139,251
156,0,139,270
158,0,138,270
151,0,129,270
154,0,124,270
152,0,113,270
159,0,104,270
183,0,76,270
193,0,66,270
212,48,60,218
213,46,58,218
216,48,57,215
215,48,58,215
223,52,51,211
224,53,49,210
224,59,50,204
224,61,50,203
224,64,51,193
223,71,50,184
221,69,55,185
220,69,56,186
217,75,56,183
217,74,56,182
211,77,63,176
210,76,65,176
203,50,75,203
200,38,84,217
192,0,101,253
185,0,117,254
173,0,124,270
169,0,130,270
149,0,164,270
139,0,191,270
112,0,210,270
99,0,219,245
101,0,191,210
125,0,188,250
131,0,178,242
133,0,163,242
142,0,194,227
167,13,173,194
182,0,152,219
184,0,138,246
181,0,135,263
172,0,149,258
165,0,158,262
159,0,158,260
148,0,148,239
158,0,137,239
171,0,145,267
147,0,163,226
190,0,167,175
175,5,200,147
161,0,233,164
129,0,257,177
110,0,283,185
62,0,319,185
41,0,355,175
36,0,396,166
1,0,427,164
0,0,457,156
0,0,480,154
0,0,480,157
0,0,480,153
0,0,480,151
0,0,480,155
0,0,480,155
0,0,480,155
0,0,480,154
0,0,480,151
0,0,480,148
0,0,480,145
0,0,480,144
0,0,480,143
0,0,480,148
0,0,480,152
0,0,480,153
0,0,480,150
0,0,480,148
0,0,480,144
0,0,480,145
0,0,480,144
0,0,480,147
0,0,480,146
0,0,480,152
6,0,474,161
12,0,468,178
12,0,468,196
0,0,480,207
16,0,464,211
18,0,462,208
16,0,464,211
20,0,460,204
14,0,466,203
0,0,480,207
6,0,474,215
0,0,480,206
0,0,480,219
0,0,480,210
0,0,480,211
0,0,480,221
0,0,480,221
0,0,480,225
0,0,480,228
0,0,480,229
0,0,480,244
0,0,480,261
0,0,480,268
0,0,480,267
0,0,480,270
0,0,480,270
0,0,480,265
0,0,480,270
0,0,480,255
0,0,480,256
0,0,480,254
0,0,480,258
0,0,480,248
0,0,480,256
0,0,480,257
0,0,480,262
0,0,480,262
0,0,480,262
0,0,480,260
0,0,480,258
0,0,480,252
0,0,480,244
0,0,480,253
0,0,480,256
0,0,480,256
0,0,480,255
0,0,480,259
0,0,480,261
0,0,480,249
0,0,480,249
0,0,480,248
0,0,480,251
0,0,480,257
0,0,480,253
0,0,480,257
0,0,480,255
0,0,480,269
0,0,480,265
0,0,480,258
0,0,480,257
0,0,480,255
0,0,480,258
0,0,480,254
0,0,480,252
0,0,480,245
2,0,478,248
9,0,470,244
1,0,468,239
28,0,452,233
44,0,427,232
60,0,407,237
75,0,381,237
69,0,379,245
81,0,365,241
100,0,344,234
103,0,333,238
102,0,330,230
111,0,317,240
118,0,306,241
115,0,310,242
116,0,312,249
117,0,313,251
138,0,297,256
137,0,293,261
139,0,297,260
129,0,299,264
129,0,306,267
127,0,315,253
128,0,327,247
127,0,339,252
118,0,356,245
96,0,378,270
98,0,382,270
86,0,394,267
98,0,382,270
32,0,434,270
36,0,437,267
